area;emoji;name;type;hp;atk;sta;lck;int;mgk;note;desc;message

//Bleak Necropolis (needs int pass -1)
🧛🦇🦷🫀🫁👁️🎃🤺
Bleak Necropolis;🦴;Pile of Bones;Prop;0;0;0;0;0;0;Disturbing Scenery;Adventures seem to usually end here.<br>;
Bleak Necropolis;🐦‍⬛;Undead Crow;Demon;1;2;3;0;1;0;Wild Animal;Looks for a long lost mate.<br>;Got both eyes pecked out.
Bleak Necropolis;⚰️;Burial Coffin;Container-3;0;0;0;0;0;0;Place of Rest;Looks someone tampered with it recently.<br>;Revealed a horrific sight!
Bleak Necropolis;🫀;Rotten Heart;Container;0;0;0;0;-1;0;Disgusting Sight;xyxy.<br>;
Bleak Necropolis;🪱;Meatfly Worm;Small;1;1;1;0;10;0;Arthropod;Found buried inside the undead meat.<br>Unsettling fishing bait.;Contracted a deadly disease.
Bleak Necropolis;🦷;Lucky Tooth;Item;0;0;0;1;0;0;Human Remains;Disgusting on sight.<br>;Another disgusting item in pocket.
Bleak Necropolis;⛺️;Worn Tent;Container-3;0;0;0;0;0;0;Place of Rest;There is a tent and a campfire.<br>No one seems to be around.;
Bleak Necropolis;📚;Book Pile;Container;0;0;0;0;0;0;Source of Wisdom;Laying among a bunch of other junk.<br>The bottom book slightly glows.;
Bleak Necropolis;📘;Book of Spells;Item;0;0;0;0;0;1;Artifact;Radiates with magic energy.<br>Holds immense power.;Mastered the basics of magic.
Bleak Necropolis;🧙;Necromancer;Recruit;3;1;1;0;3;3;Outcast Hermit;Noticed suspicious activity in their camp.<br><i>"Never should have come here!"</i>;
Bleak Necropolis;🪨;Cemetery Wall;Prop;0;0;0;0;0;0;Place of Rest;Eerie atmosphere in the air.<br>;
Bleak Necropolis;🪦;Desolate Grave;Container-3;0;0;0;0;0;0;Disturbed Ground;Seems recently tampered with.<br>;Corpse has risen from the ground.
Bleak Necropolis;🧟;Animated Dead;Undead;3;2;2;0;10;0;Restless Body;Surely carries a lot of diseases.<br>;Contracted a terminal disease.
Bleak Necropolis;🪱;Meatfly Worm;Small;1;1;1;0;10;0;Arthropod;Found buried inside the undead meat.<br>Unsettling fishing bait.;Contracted a deadly disease.
Bleak Necropolis;💍;Engagement Ring;Item;1;0;0;0;0;0;Shiny Object;The glowing gem shines bright.<br>;Felt a surge of power
Bleak Necropolis;🌱;Strange Plant;Container;0;0;0;0;0;0;Potential Food;Probably packs a ton of nutrients.<br>;Dug it out of the ground.
Bleak Necropolis;🥔;Old Potato;Consumable;0;0;0;0;0;0;Eternal Vegetable;Looks suspiciously fresh.<br>;Actually tasted quite good.
Bleak Necropolis;⚱️;Burial Urn;Container;0;0;0;0;0;0;Ancient Relic;These shall not be disturbed.<br>;Malvolent energy escaped the urn
Bleak Necropolis;👻;Untangible Ghost;Spirit;1;1;2;0;10;2;Soul Remains;Energy of a long gone warrior.<br>;Got taken to Vallhala.
Bleak Necropolis;🌲;Spruce Trees;Container-2;0;0;0;0;0;0;Suspense Area;A small group of trees.<br>;
Bleak Necropolis;🦉;Night Eye;Friend;0;0;1;0;0;0;Wild Animal;Landed on the edge of the pit.<br>;It revealed a powerful secret
Bleak Necropolis;⛪️;Barred Church;Locked-Container-2;0;0;0;0;0;1;Place of Power;Strange sounds are coming from the inside.<br>;
Bleak Necropolis;🧛;Thirsty Vampire;Demon;3;2;2;0;3;1;Evil Being;Sharp teeth getting ready to bite.<br>;Got all blood sucked out.
Bleak Necropolis;🕯️;Demonic Shrine;Altar;0;1;0;-3;0;0;Ritual Place;Deal with the prime evil.<br>;Granted the Death's touch.
Bleak Necropolis;🕰️;Clock Tower;Container-3;0;0;0;0;0;0;Deserted Building;The clock has stopped moving.<br>Looks long time abandoned.;
Bleak Necropolis;🚪;Tower Entrance;Locked-Container-2;0;0;0;0;0;0;Ruined Building;A huge chain holds the door closed.<br>;
Bleak Necropolis;🐻;Undead Grizzly;Boss;6;2;3;0;10;0;Reanimated;There's an axe sticked into its head.<br>Still packs a punch.;Got torn to tiny pieces.
Bleak Necropolis;🪓;Bloody Axe;Item;0;1;0;0;0;0;Sharp Tool;Battle-proven makeshift weapon.<br>Definitely could be of service.;Obtained a new weapon.



//////////////////////////////////////////////////////////////////
//////////////////////////////////////////////////////////////////



Eternal Realm;💀;Death Sentence;Death;0;0;0;0;0;0;End of the Line;<b>❤️‍🩹 Heal</b> the soul to start a new adventure.<br><b>🦆 Tweet</b> this to appear in credits.;
Depths of Slumber;😴;Restless Dream;Dream;0;0;0;0;0;0;Snoring;<b>💤 Sleep</b> to recover depleted <b>🟢 Energy</b>.<br>;
Depths of Slumber;👿;Bad Thought;Demon;1;1;1;0;0;0;Imaginary Threat;<b>🔰 Block</b> or <b>🌀 Dodge</b> to avoid enemy strikes.<br><b>⚔️ Attack</b> when they have no <b>🟢 Energy</b>;
Depths of Slumber;🦐;Floating Shrimp;Consumable;0;0;0;0;0;0;Imaginary Food;<b>🍴 Eat</b> to restore <b>❤️ Health</b> and <b>🟢 Energy</b>.<br>;
Depths of Slumber;👤;Shaping Decision;Upgrade;0;0;0;0;0;0;Turning Point;<b>Choose a perk</b> to shape your character.<br>;
Depths of Slumber;🥱;Waking Moment;Dream;0;0;0;0;0;0;Sudden Epiphany;n/a<br>;
Forsaken Village;🪨;Pile of Rubble;Container;0;0;0;0;0;0;Building Debris;Bunch of stones lying around.<br>;Lifted the nearest boulder.
Forsaken Village;🪱;Confused Earthworm;Small;1;0;0;0;10;0;Arthropod;Makes a perfect fishing bait.<br>;
Forsaken Village;🪳;Overgown Cockroach;Small;2;1;1;0;10;0;Annoying Insect;Carries a giant pair of mandibles.<br>;Contracted a deadly disease.
Forsaken Village;🏚️;Ruined House;Container-3;0;0;0;0;0;0;Deserted Building;Strange noises are coming out.<br>;Entered through the window.
Forsaken Village;👁️‍🗨️;Haunting Voice;Curse;0;0;0;0;-1;0;Misfortune;Eerie whispers and screams echoing around.<br>;Suffered mental damage.
Forsaken Village;🧶;Cotton Ball;Container;0;0;0;0;0;0;Common Object;Must have been lost recently.<br>;A wild cat appeared.
