area;emoji;name;type;hp;atk;sta;lck;int;mgk;def;note;desc;message;achiev

//Fading Wildlands
Fading Wildlands;🌱;Strained Growth;Prop;0;0;0;0;0;0;0;Wild Flora;Too vibrant for a land this quiet.<br>;;none
Fading Wildlands;🌱;Fresh Growth;Prop;0;0;0;0;0;0;0;Quiet Flora;Soft sprouts push through tired soil.<br>;;none
Fading Wildlands;🌱;Potato Patch;Container;0;0;0;0;0;0;0;Forgotten Crop;Someone once depended on this field.<br>;Crossed right through.;none
Fading Wildlands;🌿;Grass Field;Prop;0;0;0;0;0;0;0;Wind-swept Blades;The grass sways like restless sleepers.<br>;;none
Fading Wildlands;🌿;Swaying Grass;Prop;0;0;0;0;0;0;0;Quiet Flora;The grass sways like restless sleepers.<br>;;none
Fading Wildlands;🍃;Falling Leaves;Prop;0;0;0;0;0;0;0;Quiet Decay;What once bloomed now lets go.<br>;;none
Fading Wildlands;🪹;Deserted Nest;Prop;0;0;0;0;0;0;0;Left Behind;Whatever lived here flew away long ago.<br>;;none
Fading Wildlands;🪨;Lone Boulder;Prop;0;0;0;0;0;0;0;Silent Witness;Stone watches the world fade.<br>;;none
Fading Wildlands;🪨;Granite Marker;Prop;0;0;0;0;0;0;0;Faded Pointer;Faded arrow and illegible text point forward.<br>;;none
Fading Wildlands;🌳;Lone Tree;Prop;0;0;0;0;0;0;0;Tired Sentinel;The last trunk standing from a lost grove.<br>;;none
Fading Wildlands;🪵;Mossy Remains;Prop;0;0;0;0;0;0;0;Reclaimed Wood;Once a tree, now slowly dissolving.<br>;;none
Fading Wildlands;🪵;Reclaimed Logs;Prop;0;0;0;0;0;0;0;Natural Debris;Moss eats wood faster than time should.<br>;;none
Fading Wildlands;🪵;Carved Stump;Prop;0;0;0;0;0;0;0;Old Marker;Knife marks tell forgotten stories.<br>;;none
Fading Wildlands;🪶;Fallen Feather;Prop;0;0;0;0;0;0;0;Quiet Remnant;Something once passed overhead.<br>;;none
Fading Wildlands;🐾;Animal Footprints;Prop;0;0;0;0;0;0;0;Fresh Clue;Clear sign of recent activity.<br>;Followed the trail.;none
Fading Wildlands;👣;Humanoid Footprints;Prop;0;0;0;0;0;0;0;Unsettling Clue;Clear sign of recent activity.<br>;Followed the trail.;none

Fading Wildlands;✨;Lingering Starshine;Prop;0;0;0;0;0;1;0;Clear Sky;The stars shine bright like diamonds.<br>;Woke up with a strange power;none
Fading Wildlands;🌼;Wildflower Bed;Prop;0;0;0;0;1;0;0;Gentle Ground;Flattened blooms form a soft nest.<br>;Slept peacefully among petals;none
Fading Wildlands;☀️;Warming Sunrise;Prop;0;0;1;0;0;0;0;Weather Condition;Good time for an adventure.<br>;Enjoyed a short warm nap.;none
Fading Wildlands;☘️;Clover Drift;Prop;0;0;0;1;0;0;0;Lingering Luck;Greens still cling to hope.<br>;Woke up finding a four-leaf clover;none
Fading Wildlands;🪨;Sunwarmed Stone;Prop;0;0;1;0;0;0;0;Comforting Weight;Feels somehow warm despite the cold air.<br>;Muscles loosened as you rested;none
Fading Wildlands;🌾;Tall Grass;Prop;0;0;1;0;0;0;0;Natural Bedding;Good place for a short rest.<br>;Rested hidden from the wind;none
Fading Wildlands;🍁;Maple Haven;Prop;0;0;1;0;0;0;0;Sheltering Grove;Leaves whisper of older, safer days.<br>;Rested well in the soft leaves.;none

Fading Wildlands;🕸️;Webbed Ground;Prop;0;0;0;0;-1;0;0;Haunting Spot;Better keep moving ahead.<br>;Woken up by a spider on your face;none
Fading Wildlands;💦;Moisty Grass;Prop;0;0;-1;0;0;0;0;Natural Spring;Probably not the best spot for resting.<br>;Woken up wet and feeling cold;none
Fading Wildlands;🌿;Pointy Hedge;Prop;-1;0;0;0;0;0;0;Natural Hazard;Probably not the best spot for laying down.<br>;Scratched by thorns when getting up;none
Fading Wildlands;🪨;Bloody Stone;Prop;0;0;0;-1;0;0;0;Bad Omen;Carries some traces of a recent clash.<br>;Got tainted by a bad energy;none

Fading Wildlands;🪷;Mirror-Pale Pond;Fishing;0;0;0;0;0;0;0;Water Body;Reflects the dark skies, but not your face.<br>;;none
Fading Wildlands;🪷;Stillwater Pond;Fishing;0;0;0;0;0;0;0;Water Body;Lilies crowd together, hiding the surface.<br>;;none
Fading Wildlands;🪷;Quiet Pond;Fishing;0;0;0;0;0;0;0;Still Waters;Decaying lilies float where creatures used to.<br>;;none
Fading Wildlands;🪷;Faded Pond;Fishing;0;0;0;0;0;0;0;Tired Waters;Reflections appear older than they should.<br>;;none
Fading Wildlands;🫧;Foaming Pond;Fishing;0;0;0;0;0;0;0;Restless Waters;Pearlescent bubbles hint spreading pestilence.<br>;;none
Fading Wildlands;🌊;Rushing Stream;Fishing;0;0;0;0;0;0;0;Cold Current;Clear water, carrying memories downstream.<br>;;none
Fading Wildlands;🌊;Whispering Stream;Fishing;0;0;0;0;0;0;0;Water Body;Clear water, carrying distant sobs downstream.<br>;;none

Fading Wildlands;🌿;Fern Field;Container;0;0;0;0;0;0;0;Tall Leaves;Surrounded by tall vegetation.<br>;Uncovered something hidden;none
Fading Wildlands;🌿;Swaying Fern;Container;0;0;0;0;0;0;0;Wild Flora;The grass moves, the air does not.<br>;Crossed right through.;none
Fading Wildlands;🌱;Loose Soil;Container;0;0;0;0;0;0;0;Soft Ground;Recently disturbed earth.<br>;Dug through cautiously.;none
Fading Wildlands;🌾;Bent Grass;Container;0;0;0;0;0;0;0;Recent Passage;Something passed through not long ago.<br>;;none
Fading Wildlands;🌾;Grain Cache;Container;0;0;0;0;0;0;0;Forgotten Ration;A burlap bundle, left for no one.<br>;Opened to reveal a small stash.;none
Fading Wildlands;🍂;Leaf Pile;Container;0;0;0;0;0;0;0;Loose Cover;Something may be hidden beneath.<br>;;none
Fading Wildlands;🪵;Root Hollow;Container;0;0;0;0;0;0;0;Hidden Cache;Roots wrap around something that isn't theirs.<br>;;none
Fading Wildlands;🪵;Hollow Stump;Container;0;0;0;0;0;0;0;Hidden Cache;Something seems to be stuck inside.<br>;;none
Fading Wildlands;🪨;Loose Stone;Container;0;0;0;0;0;0;0;Disturbed Ground;Someone moved this rock, not long ago.<br>;Something was hidden underneath.;none
Fading Wildlands;🪨;Suspicious Rock;Container;0;0;0;0;0;0;0;Disturbed Ground;Someone moved this rock, not long ago.<br>;Struggled to move it away.;none
Fading Wildlands;🪺;Abandoned Nest;Container;0;0;0;0;0;0;0;Old Shelter;The owners left, but something stayed.<br>;There was something inside indeed.;none
Fading Wildlands;🧺;Forgotten Basket;Container;0;0;0;0;0;0;0;Lost Belongings;Packed once, abandoned in a hurry.<br>;;none
Fading Wildlands;🧺;Trampled Basket;Container;0;0;0;0;0;0;0;Spilled Life;You can almost see the panic that dropped it.<br>;;none
Fading Wildlands;🕳️;Shallow Hole;Container;0;0;0;0;0;0;0;Covered Stash;A small hole opens beneath your step.<br>;There was something inside.;none

Fading Wildlands;🌾;Smothering Grass;Container-2;0;0;0;0;0;0;0;Dense Flora;Growth chokes the path, hiding old tracks.<br>;Crossed right through.;none
Fading Wildlands;🌾;Tall Weeds;Container-2;0;0;0;0;0;0;0;Overgrown Path;Weeds swallow what the road tried to be.<br>;Crossed right through.;none
Fading Wildlands;🌼;Fading Blooms;Container-2;0;0;0;0;0;0;0;Tired Color;Petals cling to life a little longer.<br>;;none
Fading Wildlands;🌺;Withering Field;Container-2;0;0;0;0;0;0;0;Dying Beauty;Once vibrant, now almost gone.<br>;;none
Fading Wildlands;🌸;Pale Orchard;Container-2;0;0;0;0;0;0;0;Silent Harvest;Branches wait for hands that never came.<br>;;none
Fading Wildlands;🌹;Thorny Rosebush;Container-2;-1;0;0;0;0;0;0;Stinging Growth;Lovely at distance, punishing up close.<br>;Drew blood on the way in.;none
Fading Wildlands;🌹;Thorny Bramble;Container-2;-1;0;0;0;0;0;0;Natural Barrier;Sharp thorns suggest avoidance.<br>;Forced your way through.;none

Fading Wildlands;🌿;Thick Growth;Container-3;0;0;0;0;0;0;0;Hidden Shapes;Something shifts where the grass is darkest.<br>;Crossed right through.;none
Fading Wildlands;🌾;Tangled Weeds;Container-3;0;0;0;0;0;0;0;Snaring Growth;Every step feels slightly unwelcome.<br>;Nearly tripped, but caught yourself.;none
Fading Wildlands;🌽;Whispering Cornfield;Container-3;0;0;0;0;0;0;0;Hidden Walkway;Stalks crowd together, concealing more than soil.<br>;There was something hidden inside.;none
Fading Wildlands;🏕️;Silent Campsite;Container-3;0;0;0;0;0;0;0;Hastened Departure;Bedrolls cold, fire long extinguished.<br>;Decided to investigate the tent.;none
Fading Wildlands;🌻;Sunward Field;Container-3;0;0;0;0;0;0;0;Watching Field;Tall heads seem to follow your steps.<br>;Crossed right through.;none
Fading Wildlands;🌾;Ensnaring Weeds;Container-3;0;0;-1;0;0;0;0;Natural Obstacle;Tangles clutch at your boots.<br>;Nearly tripped, but caught yourself;none

Fading Wildlands;🌠;Comet Painting;Altar;0;0;0;0;0;1;0;Wishbound Canvas;The falling star never reaches the ground.<br>;Your silent wish was fulfilled.;none
Fading Wildlands;🍀️;Clover Shrine;Altar;0;0;0;1;0;0;0;Gentle Fortune;Four-leaf clusters lean toward you.<br>;You won't ever forget this.;none
Fading Wildlands;🌸;Petal Shrine;Altar;0;0;0;1;0;0;0;Quiet Blessing;Color clings stubbornly to these blooms.<br>;The nature blessed you.;none
Fading Wildlands;🖼️️;Ditched Painting;Altar;0;0;0;0;1;0;0;Unfinished Art;Seems like the author left in hurry.<br>;Hmm, truly an interesting piece.;none
Fading Wildlands;🍃;Whispering Grove;Altar;0;0;0;1;0;0;0;Soft Murmurs;Leaves rustle without wind.<br>;Luck gently shifted to your side.;none
Fading Wildlands;🪔;Ashen Brazier;Altar;1;0;0;0;0;0;0;Radiating Warmth;Embers still glow of faint hope.<br>;Rallied a new self-determination;none

Fading Wildlands;🦋;Glimmering Swarm;Curse;0;0;0;0;-1;1;0;Soft Enchantment;Wings brush your skin, leaving a tingle.<br>;Suffered a surge of magic;none
Fading Wildlands;🌀;Echoing Moment;Curse;0;0;0;1;-1;0;0;Time Slip;You swear you’ve taken this step before.<br>;Admitted the unending cycle;none
Fading Wildlands;🌬️;Howling Wind;Curse;0;0;1;0;-1;0;0;Calling Omen;Wind pushes from behind, urging you forward.<br>;Suffered speedy tinnitus;none
Fading Wildlands;💧;Dripping Spring;Curse;0;0;0;0;-1;0;0;Unsettling Aura;The atmosphere thickens with every drop.<br>;Chills went down your spine;none
Fading Wildlands;🌗;Half-Moon Glow;Curse;0;0;0;0;-1;0;0;Eerie Moment;Moonlight lingers unnaturally long.<br>;Felt watched from afar;none

Fading Wildlands;💩;Rotten Mound;Trap-Attack;0;0;0;0;-1;0;0;Foul Remains;Whatever died here didn’t rest clean.<br>;Suffered some nasty consequences.;none
Fading Wildlands;🕸️;Clinging Web;Trap-Roll;0;0;-1;0;0;0;0;Snaring Threads;Sticky strands refuse to let go.<br>;Got some webs on your face;none

Fading Wildlands;🌿;Fern Thicket;Trap-Obstacle;0;0;0;0;0;0;0;Quiet Flora;Dense vegetation blocks the way ahead.<br>;The thicket held its ground.;none
Fading Wildlands;🪵;Fallen Trunk;Trap-Obstacle;0;0;0;0;0;0;0;Blocking Mass;A heavy trunk denies the easy way forward.<br>;There's no other way ahead.;none
Fading Wildlands;🪨;Collapsed Stones;Trap-Obstacle;0;0;0;0;0;0;0;Blocking Mass;The path ahead is choked with rubble.<br>;The way forward is blocked.;none

