emoji;name;hp;atk;sta;lck;int;mgk;def;desc

//Unlockable
👾;Invader;0;0;0;0;0;0;0;???.<br><i>Simply cannot leave any corner unexplored.;all_achievements
⏳;Eternal;0;0;0;0;0;0;0;The action bar prompt moves 20% slower.<br><i>???;hardcore_win

🎣;Fisherman;0;0;0;0;0;0;0;Starts with one random <b>🪱 Bait</b>.<br><i>Always ready to do some fishing.;hardcore_win

🇨🇿;Czech;0;0;0;0;3;0;0;Gain <b>+3 🧠 Intellect</b> with no downside.<br><i>Drinks beer, wears sandals with socks.;none

🎓;Scholar;0;0;0;0;3;0;0;Gain <b>+3 🧠 Intellect</b> with no downside.<br><i>The library was their second home.;none
🛖;Hermit;0;0;0;0;2;0;0;Gain <b>+2 🧠 Intellect</b> with no downside.<br><i>Loving a stoic life with no worries.;none
🪶;Scribe;0;0;0;0;0;0;0;Gain <b>+1 🧠 Intellect</b> with no downside.<br><i>Wrote stories that no one will ever read.;none

👽👾



🎴;Wanderer;0;0;-2;2;0;0;0;Gain <b>+2 🍀 Luck</b>, sacrifice <b>-2 🟢 Energy</b>.<br><i>Never stopped moving. Never found rest.
💀;Martyr;-2;0;0;3;0;0;0;Gain <b>+4 🍀 Luck</b>, sacrifice <b>-2 💔 Health</b>.<br><i>Suffering was the only prayer that worked.
🌑;Void;0;-2;0;0;0;3;0;Gain <b>+3 🔵 Mana</b>, sacrifice <b>-2 ⚔️ Attack</b>.<br><i>Gave up the blade. Found something worse.
⛓️;Condemned;-1;2;0;-2;0;0;0;Chains only made the rage worse.<br>Gain <b>+2 ⚔️ Attack</b>, sacrifice <b>-1 💔 Health</b> and <b>-2 🍀 Luck</b>.
🩺;Mender;2;0;0;0;0;-1;0;Gain <b>+2 ❤️ Health</b>, sacrifice <b>-1 🔵 Mana</b>.<br><i>The gift of healing\ drawn from the marrow.
🩻;Hollow;-1;0;0;0;5;-1;0;Gain <b>+5 🧠 Intellect</b>, sacrifice <b>-2 💔 Health</b> and <b>-1 🔵 Mana</b>.
💀;Revenant;-2;1;0;0;0;1;0;Gain <b>+1 ⚔️ Attack</b> and <b>+1 🔵 Mana</b>, sacrifice <b>-2 💔 Health</b>.
🔗;Thrall;0;1;1;0;-4;0;0;Gain <b>+1 ⚔️ Attack</b> and <b>+1 🟢 Energy</b>, sacrifice <b>-4 🧠 Intellect</b>.
🪦;Gravedigger;-1;0;0;2;1;0;0;Gain <b>+2 🍀 Luck</b> and <b>+1 🧠 Intellect</b>, sacrifice <b>-1 💔 Health</b>.
⚰️;Desecrated;0;-1;0;1;2;0;0;Gain <b>+2 🧠 Intellect</b> and <b>+1 🍀 Luck</b>, sacrifice <b>-1 ⚔️ Attack</b>.
🕰️;Ancient;0;0;-2;1;2;0;0;Gain <b>+2 🧠 Intellect</b> and <b>+1 🍀 Luck</b>, sacrifice <b>-2 🟢 Energy</b>.
🩸;Leach;-2;1;0;2;0;0;0;Gain <b>+1 ⚔️ Attack</b> and <b>+2 🍀 Luck</b>, suffer <b>-2 💔 Health</b>.<br><i>Feasts on the misfortune of others.
🥀;Blighted;-2;0;0;0;0;4;0;Gain <b>+4 🔵 Mana</b>, suffer <b>-2 💔 Health</b>.<br><i>A terrible power blooming from rot.
🕯️;Acolyte;0;-2;0;0;0;3;0;Gain <b>+3 🔵 Mana</b>, suffer <b>-2 ⚔️ Attack</b>.<br><i>Too weak to lift a blade.
🏚️;Hermit;0;0;-2;0;4;0;0;Gain <b>+4 🧠 Intellect</b>, suffer <b>-2 🟢 Energy</b>.<br><i>Decades of silence sharpen the mind.
👁️‍🗨️;Seer;-1;0;0;0;3;0;0;Gain <b>+3 🧠 Intellect</b>, suffer <b>-1 💔 Health</b>.<br><i>True vision requires a heavy price.
🌑;Exile;0;0;2;0;0;-2;0;Gain <b>+2 🟢 Energy</b>, suffer <b>-2 🔵 Mana</b>.<br><i>Banished for having no spark.
⚖️;Arbiter;0;-1;0;0;2;0;0;Gain <b>+2 🧠 Intellect</b>, suffer <b>-1 ⚔️ Attack</b>.<br><i>Judgement is sharper than any blade.
💀;Vessel;-2;0;0;4;0;0;0;Gain <b>+4 🍀 Luck</b>, suffer <b>-2 💔 Health</b>.<br><i>The spirits demand a fragile host.

🧱;Bricklayer;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Built walls that could not keep the darkness out.
🧂;Salt Gatherer;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Harvested what the sea left behind.
🪞;Servant;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Lived in the shadow of someone greater.
🛶;Fisher;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Knew patience better than survival.
🧵;Tailor;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Stitched lives together, one thread at a time.
🪓;Laborer;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Work was all they ever knew.
🪑;Caretaker;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Watched over things long abandoned.
🧴;Herbalist;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Knew which plants healed and which did not.
🪙;Trader;0;0;0;0;0;0;0;No apparent strengths or weaknesses.<br><i>Everything has a price. Even this.

📚;Archivist;0;0;0;0;1;0;-1;Gain <b>+1 🧠 Intellect</b>, suffer <b>-1 🔰 Defence</b>.<br><i>Knowledge over survival.
🛠️;Tinkerer;0;1;0;0;0;0;-1;Gain <b>+1 ⚔️ Attack</b>, suffer <b>-1 🔰 Defence</b>.<br><i>Builds fast, breaks faster.
🧪;Experimenter;0;0;0;1;-1;0;0;Gain <b>+1 🍀 Luck</b>, suffer <b>-1 🧠 Intellect</b>.<br><i>Finds out the hard way.
🪖;Militia;1;0;0;0;0;0;-1;Gain <b>+1 ❤️ Health</b>, suffer <b>-1 🔰 Defence</b>.<br><i>Untrained, but willing.
🧍;Witness;0;0;0;1;0;0;-1;Gain <b>+1 🍀 Luck</b>, suffer <b>-1 🔰 Defence</b>.<br><i>Survived by chance alone.
🪶;Messenger;0;0;1;0;0;0;-1;Gain <b>+1 🟢 Energy</b>, suffer <b>-1 🔰 Defence</b>.<br><i>Fast enough to arrive. Not to endure.
🪙;Debtor;1;0;0;-1;0;0;0;Gain <b>+1 ❤️ Health</b>, suffer <b>-1 🍀 Luck</b>.<br><i>Still paying for past mistakes.
🧠;Overthinker;0;0;0;0;2;0;-2;Gain <b>+2 🧠 Intellect</b>, suffer <b>-2 🔰 Defence</b>.<br><i>Sees everything. Stops nothing.
🍖;Hungry;1;1;0;0;0;0;-2;Gain <b>+1 ❤️ Health</b> and <b>+1 ⚔️ Attack</b>, suffer <b>-2 🔰 Defence</b>.<br><i>Fights like it’s the last meal.
